,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.10565966752209731,0.09210942898700991,0.26302029979803454,0.353517015427675,0.23537943543754147,0.22376275962054182,0.21224143446548335
x_1,0.05740317389730443,0.21976807564938372,0.18102550353026214,0.2293238661526098,0.21099973044434617,0.2060225969032904,0.18409049109619943
y_0,0.3691130588910639,0.17744830919533,0.24654178105011704,0.02761776677273775,0.026616023376050846,0.07621232159999625,0.15392487681421596
y_1,0.39900100000000005,0.11668234792189325,0.14900100000000002,0.00882868460455874,0.21225039869561044,0.12671337404639954,0.16874613421141035
z_0,0.0027838908675406615,0.028094746178935426,0.0832380877056427,0.08422194399152376,0.14341421380552394,0.1025297851418459,0.0740471112818354
z_1,0.11471319331856102,0.24151252814226587,0.009432911983914067,0.01900100000000003,0.04115218854783488,0.009673292406813847,0.07258085239989828
Mean per band,0.17477899741609457,0.14593590601246967,0.15537659734466175,0.12041837949151751,0.1449686650511513,0.12415235495314793,0.14427181671150718
