,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.04900100000000003,0.06900100000000003,0.12900100000000003,0.2152446806024049,0.14389770193386736,0.08947146124729055,0.11593614063059382
x_1,0.10900100000000003,0.07900100000000003,0.2677422959075761,0.03464399944697044,0.10040318305535571,0.1617225926900932,0.12541901184999926
y_0,0.299001,0.0009989999999999721,0.21759832489268038,0.07872752203600142,0.0438045090754175,0.02691884029562419,0.1111748660499539
y_1,0.03191179224544217,0.24910782723381408,0.25609717412034505,0.12450293409227521,0.21429929777008674,0.22170092700595803,0.18293665874465356
z_0,0.31900100000000003,0.39900100000000005,0.419001,0.43900100000000003,0.429001,0.479001,0.414001
z_1,0.11852956959387659,0.10502315999458761,0.3705802766161213,0.19894442316106892,0.3191235659149751,0.30458012942471896,0.23613018745089143
Mean per band,0.15440756030655314,0.15035549787140032,0.2766700119227871,0.18184409322312015,0.20842154295828375,0.2138991584439475,0.19759964412101536
