,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,528.5747643107835,513.1623624391175,383.5497362064062,430.02061015262353,419.99192798075126,383.1735450078541,527.828770868356,439.9348410051588,520.9390475353849,492.37098227425764,443.07218496100603,511.7134569587165,383.53855752178913,427.2472590977144,383.7471395829701,428.62565911749624,423.78287216088614,384.5134247814472,418.0092282024413,382.98692588491735,524.3564083424453,441.26218706194624,518.1014260105699,438.8127539241714,496.42259708811383,2995.9115689326695,16374.842521793596,2486.359465299579,3034.519611752461,2623.884131650019,2785.997267173192,2871.905723232784,2484.653151321901,3100.83035188132,15069.332845118895,2460.204526986704,16460.452112203762,2477.6114983470143,2903.2168791220633,2546.19895076659,3155.7795133830305,2708.9317436789906,2970.8317198878954,2455.536925213188,2778.712366698391,2577.6577253194678,2442.5616746365686,2724.761518027638,2501.84339517899,4451.543389257744,3927.933676335485,4282.387582426617,839.5267937452442,823.5823158193805
T30,611.4339412211694,584.8729950250196,455.579008707275,485.4693681457033,474.26705618633537,463.75023705959876,610.8943651879745,529.7996267692066,607.1688584088251,571.5605091370364,532.9599438840494,583.2684156134701,455.4032469450109,483.9780896376966,455.4318830568042,485.6831983688954,472.2673787421641,466.32061448053105,472.626641305348,463.6592437969053,611.0850267625246,530.6477463773666,605.4334090292089,528.9656512686549,586.8212770496772,2872.834948043483,15517.233247730193,2408.0911973826474,2847.641142595346,2299.6086642186174,2696.9308077104533,2756.925074296476,2361.6806309519975,2967.970286436739,14113.857921852737,2337.9421507544193,15587.01489003273,2400.321107123437,2719.236080248151,2466.5109337193194,2966.426072340107,2373.212055161177,2873.6712076656563,2136.2448836728045,2690.888702016068,2475.435867881607,2319.7168992725033,2614.4434561958624,2379.2249735120586,4132.4370545476495,3607.446100927831,4042.6715129101317,663.6496491766361,681.8650208399011
T60,708.8307793471338,728.8406526919613,638.5711652189561,668.2419468111706,684.9408318592155,662.2236306378528,708.6224817123514,716.6478961475638,706.9998698321135,726.2268524223621,718.0285561989124,729.7344131293808,637.9089646049703,669.7876506992546,639.0427344724512,666.3849499116736,683.6838231719729,664.8132299231862,688.5851299072172,662.771236273297,708.0578257765246,717.5501733039081,706.4685487992147,715.71968922463,700.0365574963489,2859.61938693296,15454.38882867828,2394.7130966816994,2589.4365272994355,2229.439914940502,2680.723690658728,2743.9228688629933,2143.6139039250893,2954.5892792018294,14044.878049373845,2121.209623588806,15523.751932403844,2386.9339070881615,2471.327553081328,2452.1727398195108,2699.809525308581,2307.9375543493597,2854.9442146290016,2078.27707442254,2674.6397734037946,2463.928350135774,2101.984645837372,2601.7363228674567,2161.2765622413012,4115.373109269518,3354.076353817124,4061.4876058853743,475.24110812562475,552.5603921899143
EDT,55.41666666666667,52.979166666666664,36.291666666666664,23.479166666666664,23.479166666666664,36.083333333333336,55.64583333333333,38.22916666666667,55.58333333333333,55.4375,38.22916666666667,55.4375,36.208333333333336,23.479166666666664,36.291666666666664,23.479166666666664,23.458333333333336,36.25,23.479166666666664,36.041666666666664,59.125,37.89583333333333,59.125,38.20833333333333,59.125,2848.8125,2571.083333333333,2849.0416666666665,2875.541666666667,2886.7083333333335,2819.875,2852.0,2863.166666666667,2840.4375,1604.8333333333333,2868.2708333333335,2602.0833333333335,2849.854166666667,2878.2916666666665,2847.0416666666665,2874.0625,2884.9583333333335,2799.916666666667,2888.4583333333335,2825.9375,2864.5,2870.2708333333335,2854.0625,2860.520833333333,2830.979166666667,2743.69,257.2953680111634,7616.751001376396,2903.537550628137
strenGth,163.48780822753906,168.04261779785156,147.73728942871094,151.34486389160156,158.11712646484375,154.53338623046875,164.04286193847656,137.7810821533203,168.6614990234375,168.6938018798828,146.02442932128906,166.76605224609375,154.61380004882812,150.14645385742188,156.59828186035156,161.9755096435547,164.5614776611328,157.7979736328125,155.99588012695312,159.35816955566406,163.13699340820312,142.65113830566406,166.4339141845703,151.01705932617188,168.44667053222656,169.98521423339844,171.5486602783203,152.6141357421875,157.5313720703125,164.85977172851562,158.6588134765625,170.73902893066406,143.67724609375,174.8924102783203,171.23216247558594,151.95916748046875,170.38803100585938,159.57452392578125,156.61634826660156,161.2425994873047,167.87818908691406,170.9120330810547,161.34144592285156,163.18763732910156,163.5570068359375,170.30540466308594,148.68115234375,173.13192749023438,156.7114715576172,173.5709991455078,5.473224639892578,1.2612104415893555,3.4846158027648926,0.8375843167304993
C80,13.247771263122559,14.139748573303223,16.379606246948242,17.132856369018555,17.242557525634766,16.386892318725586,13.189314842224121,14.700697898864746,13.379546165466309,14.508724212646484,14.67131233215332,14.090862274169922,16.429134368896484,17.183372497558594,16.3798828125,17.25074005126953,17.437110900878906,16.309255599975586,17.276947021484375,16.466428756713867,13.063623428344727,14.72520923614502,13.244038581848145,14.746856689453125,13.8489351272583,-5.139250755310059,-0.6963135004043579,-5.068636417388916,-3.1533865928649902,-4.008297443389893,-4.090559959411621,-5.336791038513184,-4.7697343826293945,-4.991030216217041,0.5866560339927673,-4.876039981842041,-0.7784427404403687,-5.118148326873779,-3.3303136825561523,-4.875968933105469,-2.9777116775512695,-3.832869052886963,-3.5286507606506348,-4.3110551834106445,-4.104424953460693,-5.795638561248779,-4.7946858406066895,-5.477750778198242,-4.686300277709961,-4.127288818359375,19.308563232421875,2.0612847805023193,126.28521728515625,11.509572982788086
Ts,26.6875,26.0625,24.791666666666668,22.770833333333332,22.770833333333332,24.729166666666668,26.895833333333336,25.645833333333332,26.770833333333336,26.229166666666668,25.645833333333332,26.395833333333332,24.729166666666668,22.770833333333332,24.770833333333332,22.666666666666668,22.625,24.791666666666668,22.8125,24.645833333333332,27.479166666666664,25.583333333333332,27.375,25.604166666666668,27.0625,1370.5833333333333,667.4375,1625.1875,1468.75,1585.9583333333333,1492.2083333333333,1401.7083333333333,1509.7291666666665,1350.5,459.3125,1517.9583333333333,689.8333333333333,1633.5625,1496.125,1600.6041666666665,1443.7916666666665,1563.9166666666665,1402.9166666666665,1625.1666666666667,1498.7916666666667,1473.4166666666665,1518.9791666666667,1427.0,1494.0,1230.0,1356.765,303.7411267291057,5452.156456384866,1364.0310447922177
