,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.725055180540247,0.7173768110916601,0.7815679746240616,0.7994680576554754,0.8075617860069765,0.7987519785287767,0.7716302980745328
x_1,0.6411062204436138,0.599584384053413,0.4367754911231302,0.39119580418034305,0.3064800990563,0.31040886661353384,0.4475918109117223
y_0,0.6250561879062977,0.5167089405157202,0.33731542894563415,0.5646346886463738,0.6136369919907909,0.5684471307374988,0.5376332281237192
y_1,0.2713681122295661,0.03510351706344095,0.023781880342980233,0.024562639400175557,0.02408222392738346,0.023534953223745103,0.06707222103121523
z_0,0.28002080856438216,0.04237870971654423,0.02933989814268223,0.0349227708953026,0.03326198586170381,0.031577596745059666,0.07525029498761245
z_1,0.7098394646190116,0.6715787560791311,0.34886178186403516,0.48066121720368893,0.5170774540648486,0.4728114576298782,0.5334716885767655
Mean per band,0.5420743290505197,0.43045518641998487,0.32627374250708724,0.38257419633022655,0.38368342348466716,0.36758866391308204,0.4054415902842613
