,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,566.3633968594495,399.03132851479893,396.806725657241,435.1927544925294,398.82080804629004,431.7760602586816,565.9587578345934,375.06298149706254,558.4824916705168,397.1994177622755,448.6864184935459,399.04423657266557,396.83438083691635,430.92399892198614,383.3361991912801,399.23993795475826,391.4090765988558,433.7056331888482,399.3236913062618,431.44450509252044,566.4745518550561,375.0760799546434,558.8886245795677,413.88513447177337,485.76711355486304,427.79225531952494,322.368838380882,293.6442078691641,323.6869775659017,290.7219225289873,407.79291519371816,429.56833895985255,297.2362127672308,419.2357250502954,324.42802807531336,408.2657761453875,322.4166448859505,293.5142074742621,319.2727153129338,291.94876832963126,305.54703255233267,282.93893419914076,403.2176974840007,288.17099487909,407.4112399767028,429.04146474877405,295.3600655810067,419.183794241281,351.4935600245238,381.971011338267,92.10019905131301,34.945679477637604,20.745139989710527,6.828374769358144
T30,657.1681801424711,517.6154840116915,489.2921897763994,589.8863035768786,495.3697569105309,523.8943840218485,656.6745278734201,501.648477145347,648.0140652835925,522.7169213083845,531.9662677775435,517.8915390447638,491.06610990040025,584.0054839922014,449.1541515474023,532.747933253067,495.49627344227724,526.9850970437093,495.1376729559868,523.7855532428082,656.6339446687723,501.99661558532995,647.4882722449395,518.0175206079987,588.7083707107274,475.87210870622147,402.96983281880927,395.33840930716644,432.62024889821265,347.3674888696392,408.6308251629301,475.67318864065123,428.2702236942922,473.7597210733797,415.64302938441756,434.44781815648054,403.18029801066115,395.00711663504904,435.6724200651291,368.58489250263915,388.67033921136203,343.4473766643628,402.6826834573727,347.02379269251605,408.3455207625545,474.75914456833954,429.49000939565417,472.80908068061507,442.6083829494525,467.2796190190515,127.72830098966129,35.29123665325416,23.11986920454467,4.850394023220805
T60,924.7857449720625,781.2430208241358,748.2453358900095,810.889520374185,782.4016203726297,845.1796917301938,925.8814627698537,799.5560798386707,923.1167726735517,784.1966146146287,875.7829134382631,781.3202054606367,749.0052511978394,806.9042486625938,724.5247893901598,787.1441139250888,776.0011998508946,850.1852486162277,783.7087875209712,844.6193675027537,928.3056498895135,800.441886506667,925.0912676301298,895.4917699562254,898.6461938866041,554.3405896131256,532.1062421298802,517.9196976131152,552.6515075475431,531.7007306402891,518.5081429058619,554.4051453821533,518.4781172026371,550.1244051116312,532.322628680598,521.3632580297879,531.974910326559,518.083845321466,552.9717175831976,508.9973109616249,534.1719223326563,527.1898946220947,520.4144147345451,531.5123144045996,518.4277249744664,554.5404454721814,518.8100745718706,550.7050432595757,526.2042498616782,526.1187131126163,297.9450284439494,56.53838512740292,35.595968724191415,4.1342083105550165
EDT,57.6875,47.83333333333333,38.625,52.875,47.95833333333333,48.16666666666667,57.6875,38.66666666666667,54.5625,47.375,48.375,48.04166666666667,38.79166666666667,52.9375,37.89583333333333,52.833333333333336,46.39583333333333,45.625,49.1875,48.958333333333336,57.708333333333336,39.08333333333333,56.833333333333336,43.9375,52.9375,43.958333333333336,31.333333333333332,31.3125,43.895833333333336,31.333333333333332,31.354166666666668,43.979166666666664,31.3125,43.979166666666664,31.333333333333332,31.354166666666668,31.354166666666668,31.3125,43.9375,31.3125,43.958333333333336,31.333333333333332,31.354166666666668,31.354166666666668,31.354166666666668,44.0,31.3125,44.020833333333336,31.354166666666668,44.0,12.555,3.7995334143374326,25.91405926567396,7.445881957707435
strenGth,161.1121826171875,154.55970764160156,146.9131317138672,165.36941528320312,160.713623046875,142.88568115234375,161.74351501464844,153.5094451904297,165.39027404785156,163.5492706298828,150.57318115234375,153.4080047607422,153.89695739746094,164.21902465820312,154.9512176513672,164.6368408203125,164.70516967773438,154.60055541992188,158.64810180664062,147.8917236328125,160.98593139648438,158.4839324951172,163.34620666503906,155.50953674316406,164.39755249023438,158.9803009033203,151.85256958007812,145.24017333984375,163.27902221679688,158.0639190673828,140.3271484375,159.57623291015625,151.89700317382812,163.4077606201172,161.0377197265625,148.09530639648438,150.68057250976562,152.21693420410156,162.06263732910156,153.50552368164062,162.76170349121094,162.44288635253906,152.28878784179688,155.96429443359375,145.3260040283203,158.72438049316406,156.86160278320312,161.25489807128906,154.2234344482422,162.3665313720703,2.1425135135650635,0.40938425064086914,1.3603367805480957,0.2746942937374115
C80,12.047874450683594,14.528512001037598,16.4842472076416,13.36702823638916,14.764846801757812,14.079947471618652,12.011177062988281,16.662477493286133,12.116307258605957,14.600091934204102,14.020498275756836,14.50750732421875,16.445693969726562,13.328862190246582,16.87491798400879,13.810876846313477,15.07477855682373,14.24924087524414,14.734153747558594,14.073455810546875,11.921082496643066,16.613365173339844,12.003898620605469,16.255224227905273,12.986980438232422,15.098655700683594,20.476497650146484,22.564861297607422,17.47319793701172,21.404712677001953,18.889921188354492,15.061749458312988,21.800029754638672,15.216559410095215,20.149497985839844,18.544525146484375,20.46717643737793,22.551551818847656,17.509347915649414,22.452728271484375,18.64379119873047,21.360523223876953,18.863784790039062,21.43235969543457,18.89910316467285,14.970220565795898,21.781375885009766,15.107295989990234,20.060420989990234,16.58204460144043,4.791955471038818,1.1830554008483887,33.20701599121094,6.263815402984619
Ts,36.041666666666664,32.27083333333333,29.395833333333332,34.458333333333336,32.125,32.125,36.270833333333336,29.208333333333332,36.270833333333336,32.04166666666667,32.125,32.33333333333333,29.458333333333332,34.8125,28.854166666666668,34.770833333333336,31.5625,31.5625,32.25,32.16666666666667,36.833333333333336,29.3125,36.958333333333336,29.0625,36.270833333333336,29.4375,26.791666666666664,25.104166666666668,28.125,26.604166666666668,26.75,29.583333333333332,25.145833333333332,29.479166666666668,26.625,26.75,26.833333333333336,25.145833333333332,28.333333333333332,24.916666666666668,28.125,26.208333333333332,26.375,26.666666666666668,26.75,29.979166666666668,25.1875,29.9375,25.270833333333332,29.416666666666668,5.560000000000001,1.0102138112520762,16.84400195049237,1.814342600101468
