,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.046253495761472585,0.12145346008425051,0.1651347850714902,0.27534606365270237,0.36798572280668457,0.48080850401285874,0.2428303385649098
x_1,0.11052723079494306,0.13431319443178596,0.007781420547646578,0.22965905787155683,0.06301905721706347,0.05389195216243159,0.09986531883757126
y_0,0.44931010647899816,0.43888664269462463,0.3707015989160073,0.36011291982701266,0.45347880301006077,0.4613526397125483,0.4223071184398753
y_1,0.5747330457890745,0.4778892325325984,0.09798450664174574,0.006841232008738762,0.10799281556475959,0.15344751180099714,0.23648139072298568
z_0,0.17300719401048084,0.24429346077520464,0.3285384668872994,0.45167394877707123,0.43188697839877427,0.5360185464553434,0.3609030992173623
z_1,0.473645676606387,0.38677296348996165,0.09333015562370073,0.02153210379668591,0.07561130652608761,0.12424640120157626,0.1958564345407332
Mean per band,0.30457945824022603,0.3006014923347376,0.1772451556146483,0.22419422098896127,0.24999578058723837,0.30162759255762595,0.2597072833872396
