,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.20957770368099143,0.16583642933346415,0.09475889830484652,0.1761245917484564,0.15306562935004042,0.030127155562208574,0.13824840133000124
x_1,0.45247882308181203,0.41945562740537234,0.20017027924901382,0.03592037553953831,0.023775098672716544,0.01803377537681472,0.19163899655421132
y_0,0.667763856517486,0.5016841317145639,0.2563702144736525,0.011271460696664515,0.031779090075287675,0.011529602949518769,0.24673305940452894
y_1,0.5880995477544954,0.27889232424936405,0.06378250211562986,0.06794126972565173,0.066195701831533,0.06827785486407179,0.18886486675679093
z_0,0.12815673438584074,0.12772758546629193,0.12809677421717847,0.12372831879257729,0.0076050413907352565,0.0792941442860412,0.09910143308977748
z_1,0.78101869398045,0.6892478655028792,0.5167680149638311,0.41622950027167577,0.47869309733374066,0.505364451215955,0.5645536038780886
Mean per band,0.47118255990017927,0.36380732727865595,0.2099911138873587,0.13853591946242735,0.12685227644234226,0.118771164042435,0.23819006016889974
