,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.06469770996698888,0.08550770599029522,0.3051958815970862,0.233914686463083,0.20675334487887043,0.13030384281343255,0.17106219528495936
x_1,0.07505699905226804,0.03338560929818335,0.30332983905887734,0.23074405678238658,0.26370466140721693,0.2524807689972991,0.1931169890993719
y_0,0.22990869438977996,0.1755988473994235,0.19301798348745403,0.02380012669014353,0.008685347231710105,0.05914061645615132,0.11502526927577707
y_1,0.39900100000000005,0.1825225754298716,0.14900100000000002,0.005082879926362943,0.2184332306725539,0.12499021835142325,0.17983848406336864
z_0,0.03095424246913353,0.024861872331735035,0.10377284303209969,0.07960168483753065,0.1463673040628501,0.10449591589859135,0.08167564377199006
z_1,0.009001000000000028,0.27814882360662563,0.01900100000000003,0.03420700785921983,0.03284919310855118,0.011556296956304488,0.06412722025511687
Mean per band,0.13476994097969508,0.13000423900935573,0.17888642452925288,0.10122507375978775,0.14613218022695879,0.11382794324553365,0.13414096695843067
