,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.08537548252770516,0.10295873255932242,0.18822951914983937,0.2943171901521369,0.38218790490829685,0.48823058745202325,0.25688323612488734
x_1,0.1338623782305621,0.10068272852871912,0.004987903465714261,0.21470208697788773,0.0736226156155152,0.0682091390905053,0.09934447531815062
y_0,0.44852782516600403,0.3475276125290866,0.3549114202892658,0.35152049001975816,0.442985518968437,0.4519712017289666,0.39957401145025306
y_1,0.6425111995977706,0.46706076084870707,0.06943603469046145,0.009184865438537138,0.10694557202233779,0.1562470870806809,0.2418975866130825
z_0,0.1774264475058406,0.23410801353917055,0.3225963182673707,0.45376725362829073,0.4298687741190368,0.5367507899173113,0.35908626616283673
z_1,0.4725739040386553,0.3682635761180579,0.10734058355466025,0.030060133604480344,0.08519242283148287,0.13502857790274658,0.19974319967501386
Mean per band,0.326712872844423,0.270100237353844,0.1745836299028853,0.22559200330351514,0.2534671347441844,0.30607289719537234,0.2594214625573707
