,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,28.65883388556553,39.65367534064101,52.510941066583655,29.107718094067884,45.89040825803956,52.09272432569445,38.12639437911919,52.945016355848004,30.495700464814085,45.08678481188236,52.303969803439976,87.19468365760314,52.64431208861427,29.91996758716903,52.48781415344091,29.68841357163163,35.55161432842662,51.908538994477034,50.779557258339715,49.59454631274757,29.984674344096543,35.64299301141239,30.627426577820792,52.97600528990437,33.20220789945258,46.102139880178775,36.7536491345024,105.0143891192373,40.54395959740424,31.641211046648493,90.9008557672358,18.40692316934736,104.47012551100435,40.40567405344448,26.86891431266516,86.29337187697719,40.450954992367876,80.68449192220471,15.406163295172934,101.47165720478348,42.06751494249709,26.04688658056424,77.13462217249146,32.078930726376264,44.95100497233547,41.64209124133782,30.741312261414187,38.198156815837194,57.96829332793166,48.62320492923571,20.959237036013434,15.32122395309586,45.802841590373966,25.30851188584171
T30,76.94928202822456,104.6274938398918,190.33846446513343,70.4342195852881,102.32176687653798,187.53739516493607,72.98881419650027,190.55764659555248,70.8842039865944,106.1662587367219,188.2991081495676,121.09182741239663,195.96210996299675,57.46794878033314,190.53527130129783,60.105066348125504,86.35419135090386,192.62742814386561,103.85275950503647,187.3080959598428,77.75087858681073,197.4447133678165,71.16712936400155,191.1315080040898,46.57915557332949,28.897545750814942,36.59425617491466,98.85121068275406,29.172941713182446,31.492717945394432,86.45207819534455,33.41909444546066,98.61940943106993,29.18764902523791,29.463150003155626,84.24128591479452,40.87746070551437,92.78950841583492,31.10415175108267,95.90783387272432,30.3893951115811,29.397941720773673,84.9127589281084,32.03963584437802,51.604971315159155,29.094284050113547,77.64634705625414,29.228736943391453,94.17132542067054,34.8913883164927,72.00142634206371,31.720193482772554,57.25537888251718,10.138003483592817
T60,120.71485249852074,151.9119659385364,130.9983134923314,127.02689416953744,138.50510681013512,131.52812150611823,124.49796934603687,130.78192184625175,121.90208735486182,140.28270062641087,131.131200832155,159.48967132291477,130.57289754126768,128.20523149924705,130.8498098898627,134.23554364875096,126.62716187606333,131.44615740612767,137.8679422686759,133.52484775662288,116.63510787104302,130.28313685707207,117.3079236507918,130.70074644291122,128.142562302905,61.07180156633,66.54967691411301,87.8823330002585,51.92314661812398,59.25265849369861,86.19689468678692,54.11371253675233,87.75620324441466,56.16911675603615,57.21051597693405,86.36611515769546,67.53335832317276,89.01029026171632,40.45571198267208,88.78162459502147,45.213962472983184,48.01982182973335,87.64550880970434,58.999373095692214,86.60906731892322,55.31128728744194,90.11521221763624,53.24105701868461,88.5888585655195,51.65985078345178,63.17970860966619,18.01888713127984,48.004183143870534,12.823266988570625
EDT,43.25,42.520833333333336,47.20833333333333,42.958333333333336,42.25,47.20833333333333,42.25,47.20833333333333,42.958333333333336,42.25,47.20833333333333,42.25,47.20833333333333,42.25,47.20833333333333,42.4375,42.25,47.20833333333333,42.25,47.20833333333333,42.958333333333336,47.20833333333333,42.541666666666664,47.20833333333333,40.520833333333336,40.416666666666664,42.25,47.20833333333333,40.375,42.25,47.20833333333333,40.35416666666667,47.20833333333333,40.35416666666667,40.479166666666664,47.20833333333333,42.25,47.20833333333333,40.35416666666667,47.20833333333333,40.33333333333333,40.416666666666664,47.20833333333333,42.25,47.1875,40.395833333333336,47.1875,40.35416666666667,47.20833333333333,40.33333333333333,0.9108333333333332,1.101207039772469,2.135397852307087,2.5746978737238755
strenGth,35.82394073727839,51.25168137926069,57.02863806029709,45.84543796581401,39.300608135040626,48.78923044717544,35.37338623776616,51.58282467333998,35.50119808623896,55.22724461655988,45.54827506514745,47.3083325857674,63.765015773819485,49.56919774291163,61.32661830204985,49.41424772367699,40.448405626520746,49.65422518121012,37.66144401514951,48.40599767853798,37.45961309296288,57.542093484748555,36.86451681234527,51.31625719670132,36.38079951453248,37.61732361126332,46.85378309720003,59.78538959962108,46.34699687642833,51.348045332533886,51.399792226712904,37.95035145917846,51.40582223033345,38.15108296559674,47.08698794191522,46.53329848317293,49.51418247766118,56.92983478941608,49.05442561997516,73.78224642718322,50.98343964871684,50.1569451544539,53.58798606112016,47.41052045997255,68.79870994562714,39.124352599481504,65.01549736096779,39.39893185244106,51.2588361721307,39.97793246283994,4.853141911373414,4.827214808038487,10.466664052619404,10.317380671003686
C80,18.08760988167555,17.559866948430244,15.034109860161065,18.5897916780572,17.782418591052622,15.10116941941181,19.652310468842053,15.056006610580333,18.91589613336165,18.16840893851787,15.134706605107818,18.201042480719433,15.144042701150447,19.7223894042607,15.075829021459253,19.59332253592605,18.470379088152388,15.170713823388052,18.02522977947488,15.587661602757779,18.12191340035879,15.469062118369777,18.86556777048542,15.115787674307825,19.991574184549496,30.43473722116435,29.14126438677824,24.381011146936604,31.743836610316723,30.292728276583848,24.49945918365279,31.803071099930904,24.453743666900493,31.367030944602078,30.9406186448739,24.610110892347393,29.684895184643967,24.868910485096727,32.934134469538236,24.569903453802006,32.49779752091061,32.134819084608004,24.772344003558352,30.438094257693994,25.950686369579067,30.91748165824817,25.927152728591473,31.678270437331733,24.68946680617138,31.855012520857485,11.397990813366402,1.4907889428467205,65.89093215180009,3.553269871159126
Ts,44.291666666666664,44.354166666666664,49.1875,43.854166666666664,44.083333333333336,49.104166666666664,42.645833333333336,49.145833333333336,43.458333333333336,43.770833333333336,49.020833333333336,43.6875,48.895833333333336,42.666666666666664,49.083333333333336,43.020833333333336,43.5,48.9375,43.979166666666664,48.0,44.0,48.14583333333333,43.3125,49.0,42.604166666666664,41.645833333333336,42.0625,47.47916666666667,41.479166666666664,41.833333333333336,47.29166666666667,41.166666666666664,47.33333333333333,41.333333333333336,41.541666666666664,47.0625,41.833333333333336,46.60416666666667,41.166666666666664,47.125,41.270833333333336,41.395833333333336,46.8125,41.8125,44.958333333333336,41.541666666666664,45.0,41.291666666666664,46.875,41.208333333333336,2.1049999999999995,0.4190548227194669,4.612203795972851,0.8894174092369513
