,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.5274112720408591,0.19980989098390156,0.028707210160043628,0.014391904173475578,0.0026675867066396908,0.0621774471748785,0.13919421853996636
x_1,0.19084652451418688,0.028062334313819992,0.05191006644455187,0.11885958581417011,0.13656832463542823,0.1920889826867973,0.11972263640149239
y_0,0.01131764226440729,0.4717305352418808,0.302239114121431,0.27604725353868376,0.2697767214386866,0.28249087216125124,0.26893368979439014
y_1,0.17900100000000002,0.31900100000000003,0.41906694833641434,0.2903189502831556,0.4745741935169375,0.289001,0.32849384868941794
z_0,0.4469409283921679,0.44346623641203164,0.26023372188571825,0.22467694007161365,0.13698392650952407,0.10762596644146205,0.26998795328541964
z_1,0.2791206703204092,0.14998420475825464,0.05265872585521303,0.11396999934462115,0.049982358035525754,0.09586333233141076,0.12359654844090577
Mean per band,0.27243967292200505,0.26867570028498144,0.1858026311338953,0.17304410553761995,0.17842551847379032,0.1715412667993,0.20832148252526536
