,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.36243691117863924,0.24242795248826537,0.1053901795158887,0.1775652007705688,0.16214985122787995,0.06361798760958881,0.18559801379847182
x_1,0.4486141250068458,0.4196624470002218,0.19936117760689503,0.036748920814012154,0.023878282731830014,0.019391751567786275,0.1912761174545985
y_0,0.6705217517075804,0.502351674310584,0.26096028486204026,0.014814661746922031,0.027443814258759858,0.009346558339713096,0.2475731242042666
y_1,0.5861714905258425,0.28365019641156985,0.06295813152509577,0.06982216944249076,0.06373155472869962,0.06830156639533425,0.1891058515048388
z_0,0.2939810027644524,0.03503604211858169,0.07043400719192339,0.06563649392076432,0.031730456316323874,0.023775427291577333,0.08676557160060383
z_1,0.7730209382020141,0.6912346148804079,0.5168173008261542,0.418086754357295,0.47786640559354276,0.5057450034783404,0.5637951695562925
Mean per band,0.5224577032308957,0.3623938212016051,0.20265351358799957,0.13044570017534218,0.13113339414283934,0.11502971578039002,0.2440189746865119
