,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,1623.0797554876451,1023.7931113972867,1277.302015123332,1388.0476201111746,1037.450753202012,1247.617488262018,1447.9140782328036,1113.1116697393397,1585.286165271264,1020.0441327003463,1333.0437128727272,1341.0530205127304,1241.3163329977083,1119.018159230962,1258.020004350136,1309.408441196083,1072.0288004401466,1255.9222764111369,1628.9659163939343,1330.7523094191,1254.8238671598592,1015.0951242844675,1248.1838477509946,1034.0067432733858,1540.4922880324748,316.8078756568978,223.1269625056973,230.327264976738,291.34848627407337,224.66889676869727,277.6286628635335,311.21179197573844,223.70711857955695,310.80539228318685,224.15990854087056,295.0724553672592,248.02191247406213,237.63735725089686,282.9571948684806,234.40054970589844,281.8948024841212,229.96855236002887,281.9723909756307,323.3386111746813,273.3544746967717,254.82443439331033,218.57386674120576,264.17361831075283,225.67992520366428,323.1846178079398,1005.4772203845349,156.77558224262248,79.09037865468292,1.522693828154481
T30,2005.3736217371393,1542.4472644615055,1698.5501023091113,1779.344525023837,1534.0656712486227,1823.0693412853325,1963.3880396346144,1563.329758927166,1993.0879241599864,1518.3420002630128,1903.1766547842528,1675.7697056726865,1644.2953588648252,1704.5001222774379,1668.780965162387,1759.359042916492,1588.639716694273,1803.426983516786,1971.047310316613,1767.1916427148565,1610.5494526577045,1533.8795756302616,1664.978543666289,1533.719152689689,1984.3762777595973,316.0022972273341,255.43573332477132,264.5615947095349,290.3331015881365,247.94815828453244,286.2151522175043,308.7059660438741,260.4923695774256,311.84762044982824,255.2811322857977,298.88987446895965,275.74877754958015,266.41598508025476,282.9395914150109,265.1528740308197,284.08511675695536,252.55839666624746,286.8291970847119,318.24880906951864,282.75508387248595,281.4927354673995,255.91749338775512,286.48923544108,260.4562159325785,315.326219865563,1448.9824009030729,140.76530193859486,83.75571770693188,0.5073524123857226
T60,2183.4810417625404,1964.299303074206,2197.5069527508654,2133.5115914950625,2027.3343141787832,2252.982635895353,2178.78001860353,2079.600406073278,2183.264002997744,1958.7853700073422,2229.784578753594,2094.337124405741,2107.900194960453,2192.7613657021384,2147.7522888583203,2136.5782375019867,2063.7965260390038,2213.252900705988,2209.5785671077256,2140.8152963699563,2076.2373980218595,1986.8862588197226,2116.136322307993,2023.3197031166683,2181.706816163431,391.48457800336377,354.39411860351146,359.034049381612,383.8593627325844,352.50207170863615,365.0163785977596,384.8979372217533,346.0718080537177,389.77488593087656,353.9668738285671,368.7404528253572,365.7710833888271,362.0045031286958,372.8565790583576,361.3688287850555,381.86326387950317,355.39775236562303,367.9502465475631,385.4965938235648,369.90724173334905,352.53254361470135,358.30008184671476,356.2545543666466,350.60986324885766,390.37131049015085,1755.9984901003177,74.07027640540188,82.69446279135049,0.5653316437482919
EDT,96.60416666666667,75.97916666666667,76.625,81.41666666666667,74.10416666666667,77.79166666666666,84.4375,76.60416666666667,93.70833333333334,75.52083333333333,81.3125,81.3125,76.47916666666667,81.33333333333333,76.58333333333334,81.35416666666667,74.16666666666667,77.79166666666666,98.08333333333333,78.75,81.29166666666667,76.58333333333334,81.3125,76.60416666666667,92.52083333333333,31.708333333333332,31.666666666666668,31.666666666666668,31.6875,31.666666666666668,31.666666666666668,31.729166666666668,31.666666666666668,31.729166666666668,31.666666666666668,31.666666666666668,31.6875,31.666666666666668,32.02083333333333,31.666666666666668,31.6875,31.666666666666668,31.666666666666668,32.20833333333333,31.666666666666668,34.604166666666664,31.666666666666668,32.25,31.666666666666668,31.729166666666668,49.27583333333333,6.6879796816544115,60.498129853579655,2.950081968491598
strenGth,163.77781677246094,146.52716064453125,159.02459716796875,167.7154083251953,152.9176788330078,144.1055145263672,161.59178161621094,165.0208282470703,168.2983856201172,156.55233764648438,151.75595092773438,141.53524780273438,163.1028594970703,163.24752807617188,166.4680633544922,168.1004180908203,158.99923706054688,156.087158203125,147.5869598388672,145.4842071533203,159.54026794433594,166.3841552734375,162.916259765625,167.26058959960938,168.14712524414062,159.45205688476562,142.55502319335938,154.45449829101562,163.58641052246094,149.00978088378906,139.6431121826172,157.5499267578125,160.56776428222656,164.0614471435547,152.6815643310547,147.35227966308594,137.53509521484375,159.07623291015625,158.92637634277344,162.16729736328125,163.99435424804688,155.1480255126953,151.88307189941406,142.62892150878906,141.7362518310547,153.8748779296875,162.67364501953125,157.84915161132812,163.0388641357422,163.87461853027344,4.273075580596924,0.42986416816711426,2.696293592453003,0.3021719455718994
C80,7.913386821746826,10.163177490234375,10.068745613098145,8.901778221130371,10.530957221984863,9.803572654724121,8.403308868408203,10.11016845703125,7.991366386413574,10.1279878616333,9.426749229431152,9.30512523651123,10.202478408813477,8.884756088256836,10.139482498168945,8.916640281677246,10.348724365234375,9.791277885437012,7.952491760253906,9.695039749145508,9.47526741027832,10.036571502685547,9.382811546325684,10.087580680847168,8.025139808654785,19.50213623046875,22.198335647583008,22.492921829223633,20.787033081054688,22.343780517578125,21.38062286376953,19.867145538330078,22.96947479248047,19.54259490966797,22.16244888305664,20.980995178222656,21.359607696533203,22.525829315185547,20.675737380981445,22.50959014892578,20.763729095458984,22.160680770874023,21.447124481201172,19.572370529174805,21.579084396362305,20.46163558959961,22.815608978271484,20.43107795715332,22.928531646728516,19.47344970703125,11.889878273010254,0.4848252236843109,126.89383697509766,9.986140251159668
Ts,50.604166666666664,41.166666666666664,43.5,45.91666666666667,40.5,43.625,47.5625,42.604166666666664,49.916666666666664,41.020833333333336,44.770833333333336,44.104166666666664,41.979166666666664,45.520833333333336,42.6875,45.5625,40.895833333333336,43.145833333333336,51.375,42.729166666666664,45.270833333333336,41.354166666666664,44.916666666666664,42.083333333333336,49.541666666666664,28.375,27.479166666666664,28.25,28.020833333333332,27.416666666666664,27.979166666666664,28.333333333333332,27.9375,28.333333333333332,27.395833333333336,27.854166666666664,28.0,27.458333333333336,29.041666666666668,27.8125,28.104166666666668,27.416666666666664,27.583333333333336,29.604166666666668,27.083333333333336,30.791666666666664,27.208333333333336,30.166666666666668,27.625,28.5,16.343333333333334,2.718494528226974,36.51279189771571,3.4980556292390643
