,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,8000hz_wall,16000hz_wall,Mean per wall
x_0,0.7839320413405952,0.8571931694400825,0.844503104532795,0.847500316363363,0.8332495052381537,0.7994952733324872,0.7976162407832825,0.7969975700118854,0.8200609026303307
x_1,0.6430763421019328,0.7747377163720409,0.7498449325995752,0.771347177644539,0.7392163498549137,0.7580735848805525,0.7508226632841187,0.7490082289067039,0.7420158744555472
y_0,0.552608559025606,0.37937302286728314,0.0014433374323247206,0.05057697496956537,0.01260435509647484,0.014991787444232907,0.01701965167632058,0.018389324419357145,0.13087587661639558
y_1,0.6526364290153814,0.4279267572408386,0.14110764182493274,0.047238681252551595,0.09484766866543703,0.048728864359629864,0.051622937617044506,0.05343627600504941,0.18969315699760814
z_0,0.6931026234818451,0.7994754357886754,0.7613798325690555,0.6781340057332226,0.5333808559846155,0.5596635733432633,0.5594721513188274,0.5609444030399027,0.643194110157426
z_1,0.4609316216903275,0.3161567764965968,0.17647160669530204,0.06907148052826095,0.12206593665191423,0.23268885717061205,0.23210608530589305,0.23409680246368836,0.23044864587532443
Mean per band,0.6310479361092814,0.5924771463675862,0.4457917426089975,0.41064477274858374,0.3892274452485848,0.40227365675512966,0.40144328833091447,0.4021454341410979,0.459381427788772
