,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.3478200066228084,0.11581774143659662,0.014699257448969494,0.007904303296996429,0.00562349888886482,0.005026162732811867,0.08281516173784127
x_1,0.4723852827631394,0.569147412170696,0.6049335927447679,0.6047262972825533,0.6020655486396413,0.5719574710369227,0.5708692674396201
y_0,0.46261265208899716,0.09900100000000003,0.299001,0.2801566074897297,0.32506053560470527,0.4241497595113283,0.3149969257824601
y_1,0.13939801955438874,0.011056155236893517,0.07930092206452743,0.19169786514504328,0.0939212717691964,0.04497998821088345,0.09339237033015546
z_0,0.31269923261851407,0.3611441924128421,0.22972650436813669,0.08135144182032095,0.06066653842865777,0.0438206267044039,0.1815680893921459
z_1,0.10065199254515149,0.1835074115729592,0.213125942815456,0.46753139290108,0.4545192842337293,0.34623397925070604,0.294261667219847
Mean per band,0.30592786436549985,0.22327898547166455,0.2401312032403096,0.27222798465595394,0.2569761129274658,0.23936133124117606,0.2563172469836783
