,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.2805365945366058,0.7223463814165982,0.048430185532599035,0.6798312703346201,0.0055151240929255385,0.05308984182403631,0.29829156628956416
x_1,0.1852329348417598,0.4554304438543975,0.2426889454004465,0.0010781684011240689,0.06632853588920362,0.09638998459149795,0.17452483549640493
y_0,0.32770958655582455,0.5091280354805297,0.6087463372080038,0.5289710799036663,0.5848052420783167,0.5798216707556727,0.5231969919970023
y_1,0.5383703794442332,0.45860430978095224,0.5658348210261599,0.6168500344675634,0.6592130682753183,0.6693570834655592,0.5847049494099644
z_0,0.2390235036127782,0.5703368504231972,0.054978655223556605,0.6291554818257803,0.062010032159202866,0.06450424062872195,0.2700014606455395
z_1,0.3383330600373384,0.5618573105721808,0.5391234960920452,0.33940286790156887,0.09889641474530808,0.12945932806976124,0.33451207956970047
Mean per band,0.31820100983808997,0.5462838885879758,0.3433004067471352,0.46588148380572053,0.24612806954004585,0.26543702488920823,0.36420531390136257
