,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.7634502061256702,0.7286830101695757,0.7893614085109091,0.8063157664101855,0.8159306137098122,0.8069686039801397,0.7851182681510487
x_1,0.7175156407303835,0.6288136166296486,0.4488501371291044,0.4121583794024204,0.3243079894249875,0.3259404019195964,0.47626436087269014
y_0,0.6690405929842003,0.53441444238055,0.3472956837421667,0.5809052910237835,0.6291184798722966,0.5834379090673796,0.5573687331783961
y_1,0.36539037947785485,0.02161102205560994,0.016040908294775003,0.011792050356029593,0.010084958666285115,0.00965256062321207,0.0724286465789611
z_0,0.3536910267629422,0.028203219944082925,0.01381832188976373,0.02139339416203112,0.021458191353446954,0.01982596924829738,0.07639835389342738
z_1,0.79505289482026,0.6996497942739127,0.3717684135727827,0.5044600525153752,0.5429990178788247,0.49579189822276415,0.5682870118806532
Mean per band,0.6106901234835518,0.44022918424222995,0.33118914552325024,0.38950415564497093,0.3906498751509422,0.37360289051023154,0.4226442290925295
