,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.21142803125725407,0.1088833173486361,0.039981905994328604,0.03783500949876262,0.026812910774627774,0.024623518929232313,0.07492744896714025
x_1,0.6526070535821897,0.7829947685342808,0.7179468848003343,0.5359197182756861,0.2079648626247117,0.36008849727905456,0.5429202975160429
y_0,0.5360833532822101,0.876917625232514,0.181333475466656,0.8184916722090234,0.24551216070128767,0.15849261105705925,0.46947181632479174
y_1,0.5506786441986984,0.7037234823655272,0.7591288190596727,0.7647452869389874,0.7798019527663137,0.7922275532751621,0.7250509564340603
z_0,0.47502274286859586,0.09479123835669978,0.10003665069581014,0.09914816648633584,0.09357488179260487,0.0911854659094452,0.15895985768491527
z_1,0.26608441243507586,0.0874092747046904,0.28951413371237367,0.11375945945403076,0.03691777630306459,0.15789220633144496,0.15859621049011338
Mean per band,0.4486507062706708,0.4424532844237247,0.34799031162152927,0.394983218810471,0.23176409082710173,0.2640849754635664,0.3549877645695107
