,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.06976540271147119,0.6790502118794256,0.18939433094037977,0.4812776118417168,0.21901605913710537,0.2328645612579328,0.3118946962946719
x_1,0.6114461380239934,0.3731563464037841,0.024036288584585952,0.0053498311252169195,0.013118723710577429,0.01094261096183069,0.17300832313499806
y_0,0.5016518413594433,0.31888605894746164,0.31940284259780527,0.08494814123271988,0.09113499852256424,0.19310469212447579,0.251521429130745
y_1,0.3695805617227769,0.17791066108706233,0.06485038181483183,0.038682893370625915,0.19931884609689177,0.4630079097350168,0.21889187563786758
z_0,0.1369455106163609,0.06719354362477964,0.11782129686933729,0.09410258087262877,0.1374820630047978,0.13110815184001667,0.11410885780465352
z_1,0.15068776210199925,0.015516827654077359,0.4756160483368307,0.5708247540257952,0.5217157573865042,0.5073431046090244,0.37361737568570524
Mean per band,0.30667953608934084,0.27195227493276514,0.19852019819062847,0.21253096874478392,0.1969644079764068,0.2563951717547162,0.2405070929481069
