,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.3806982764146043,0.39664605262498054,0.39510828129290343,0.37903972335469316,0.3779431558393861,0.3767774762280154,0.3843688276257638
x_1,0.3453737608726902,0.3747488353469155,0.37737233177354235,0.3554478393714633,0.3457763220815737,0.3511902578231677,0.35831822454489215
y_0,0.3507700003280483,0.3527233464494629,0.3515551207073502,0.345936787006516,0.34614826757923467,0.3466393784651195,0.34896215008928855
y_1,0.3507700000922984,0.3527233460541992,0.3515551203105225,0.34593678699730535,0.34614826758742234,0.3466393784510867,0.3489621499154724
z_0,0.4064427156538867,0.41416948964266864,0.42584222103275815,0.40403253336411293,0.4012129459320115,0.4006769117799399,0.40872946956756295
z_1,0.4064427243043488,0.41416949493579713,0.4258422304512913,0.404032538879171,0.4012129517949039,0.40067692007389244,0.4087294767399008
Mean per band,0.3734162462776461,0.38419676084233734,0.38787921759472804,0.3724043681622103,0.36974031846908867,0.3704333871368703,0.3763450497471468
