,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.09900100000000003,0.299001,0.3093145923710985,0.3879406397422137,0.44791037926304444,0.44207007158688705,0.3308729471605406
x_1,0.4387543430949097,0.26072724669134545,0.028505678402132806,0.5084441656659677,0.6962534579360877,0.7299077316907385,0.4437654372468636
y_0,0.899001,0.6970338831360166,0.21496526262218518,0.13759311418317466,0.18948732311723937,0.33657222979040147,0.4124421354748362
y_1,0.21900100000000003,0.15778713289746116,0.08075144859307115,0.08116422346215169,0.06365994082404391,0.07372298050437576,0.11268112104685062
z_0,0.299001,0.036104405013322016,0.06438990134608819,0.39382180095031694,0.11761777208689034,0.12865404886535242,0.17326482137699498
z_1,0.479001,0.29670570351691583,0.19214613262085334,0.05113901163638457,0.3104057464143526,0.2340370504365602,0.26057244077084446
Mean per band,0.405626557182485,0.2912265618758435,0.14834550265923818,0.2600171592733682,0.30422243660694304,0.3241606854790526,0.28893315051282176
