,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.2812229020718294,0.7227028132369591,0.047678725367564234,0.679744039946217,0.00536581460393426,0.05321150083261672,0.2983209660098534
x_1,0.08254505873513057,0.36510420484255385,0.267422183952957,0.04024536743215146,0.0484236333500252,0.07325719465346836,0.1461662738277144
y_0,0.26161625201804767,0.47582934506781976,0.6175005498538526,0.507886359475414,0.5790038413567535,0.570281400860462,0.5020196247720582
y_1,0.5204526332066339,0.43093645139063086,0.5667893228517316,0.6157313631038703,0.6637086686648193,0.6706157312628519,0.578039028413423
z_0,0.32177110887280286,0.5947938625023507,0.011704752240336624,0.6929046891452145,0.03666265776114963,0.07326793627761075,0.2885175011332442
z_1,0.2565834825603161,0.4805745524055559,0.512610169852665,0.29408440893061466,0.05343541284192199,0.1798617256359233,0.2961916253711661
Mean per band,0.2873652395774601,0.5116568715743116,0.33728428401985117,0.4717660380055803,0.23110000476310066,0.2700825815871555,0.3515425032545767
