,Ref_RT,Ref_EDT,Ref_TS,Ref_G,Ref_C,Ref_LS,Ref_CS,Fv_RT,Fv_EDT,Fv_TS,Fv_G,Fv_C,Fv_LS,Fv_CS,Fdn_RT,Fdn_EDT,Fdn_TS,Fdn_G,Fdn_C,Fdn_LS,Fdn_CS
Auditorium Hall,1556.9,100.3,30.7,1.5,8.6,-9.1,6647.9,1404.1,128.6,37.0,1.4,6.6,-9.9,3158.9,1483.8,132.9,42.4,2.3,6.5,-5.8,1335.5
Outdoors Courtyard,1007.9,3.6,8.2,0.4,15.4,-10.6,7136.9,969.3,4.2,10.2,0.4,12.5,-18.7,4460.7,1162.7,29.7,11.6,0.6,13.0,-10.0,2989.9
Recording Studio,417.7,32.0,11.8,2.2,17.1,-1.0,9268.5,580.1,0.3,3.7,0.2,18.0,-15.8,6319.7,417.4,37.5,10.4,1.3,16.0,-6.5,1673.0
Small Room,486.4,74.4,32.1,8.2,10.3,-0.3,8427.5,586.4,58.8,12.4,0.7,11.9,-162.7,7799.9,524.3,88.9,39.2,8.2,8.9,3.1,2311.3
Living Room,803.0,62.0,22.6,2.8,11.3,-15.2,9616.2,770.9,70.4,15.9,0.8,10.6,-11.4,3890.1,820.8,114.3,41.2,3.4,6.5,-4.2,849.4
Plate Reverb,524.4,13.8,4.5,0.7,18.1,-14.0,7239.2,702.9,0.0,3.2,0.2,18.0,-17.5,4730.0,538.7,40.6,10.5,1.1,14.3,-7.7,2102.6
