,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.3996235482045707,0.12925528537898223,0.5063623700608688,0.5993108250803802,0.23628380520280612,0.517472561139879,0.3980513991779146
x_1,0.25188769329740157,0.28405333647872133,0.28277332855868187,0.26946294557110617,0.2623322717436847,0.26355855232046865,0.2690113546616774
y_0,0.6867540258143316,0.7621668572114553,0.7409959451032304,0.7397424916684813,0.7460340682008821,0.7406090546155082,0.7360504071023147
y_1,0.3964920938106819,0.30443611348667043,0.2788894761957571,0.009964805997114246,0.04263139821610962,0.13850426196010768,0.1951530249444068
z_0,0.7990540351776796,0.5820043194635107,0.4427796291293725,0.12484399478951902,0.2524359784867114,0.3651320571350668,0.4277083356969767
z_1,0.5118826966911909,0.6584506849700863,0.7388434974337951,0.724968381832289,0.7766383534695035,0.801731902193741,0.7020859194317676
Mean per band,0.5076156821659761,0.45339443283157105,0.498440707746951,0.4113822408231484,0.3860593125532829,0.4711680648941286,0.4546767401691763
