,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,23.393486588197053,22.925754655357746,33.9765545249002,1.9774673540402576,1.9609340421364052,34.266441438698614,22.793401597068495,23.67581088800848,24.71218050334018,27.988736261017642,23.966185309355676,22.614782425276616,33.38800119414932,1.9412431890736215,35.911455611224106,1.9869086690587814,2.0425951659808224,38.81536428187635,1.9450752110434326,33.437522370373735,22.798805729038826,22.989031061067468,24.80418191990384,24.60986542829523,32.50017525536179,13.252521459275334,10.33136764529162,26.481683897420286,3.928627927551858,3.966492740048423,26.595970778466565,14.6935890016815,18.605316438268048,20.2624965881512,22.14939758673215,18.789467254433898,18.631869937146387,25.990690427799695,3.8920986450231476,27.877623700062777,4.024152533837109,4.129463575776419,28.68383378455067,3.914722508327694,25.996595371564517,18.62251773678833,18.64163679148559,19.659479083497157,19.214780522633518,26.332283333040973,5.6302380001381,2.850339736510258,43.07677059503875,33.695738762099325
T30,304.6214437973976,364.59757295319804,25.029446716625497,17.338750064527854,17.588750582175,25.049484572903864,313.3920839099885,18.021292010444554,328.39862412492704,428.78758481932806,18.113596768092663,385.49804491736177,24.81659401280144,17.043699611951116,25.824642055014422,17.928453135937996,18.47275604511294,26.80950914162449,17.09789516285798,25.324409651547896,340.48376325573435,18.821673690351858,356.26396101996517,19.226011423158386,408.38068369051035,273.27380131663574,320.9119386555328,19.125723956563572,15.315370812894361,15.42632052720645,19.080416454135737,268.34289856036037,16.41415336417239,284.9204282122327,374.70024254488186,16.621502466249208,330.45046966619594,18.991355937371676,15.149469786257509,19.654745801199287,15.626967761723083,15.95676151848582,19.80385932024112,15.18965553400027,19.09717146576067,288.7747522436311,16.612722177351237,305.57991246690176,16.82837324453282,368.18241749656494,18.915971833698258,20.931526444634233,15.023893656956195,5.445076246904639
T60,90.57713244484025,89.86000839278753,122.34042442576526,123.25444343548746,123.24481972050413,124.42128018405222,89.36575209578554,128.84445687721768,88.63016242567267,86.56594955909381,129.59305300431137,87.95625474190878,122.66337699286326,121.68230249074966,122.11974243887187,121.24920369115863,120.42035362161806,123.12432569645362,121.1477381119989,124.17534553156537,86.70997667484775,129.90055583140398,85.97846204615833,129.2301329808143,84.18634631912502,92.60187904399942,92.21933815347951,120.73214557834662,119.07026551381232,119.28867123201448,122.75635278962024,91.17449845770567,127.80146042531173,90.23648342427947,88.50023835166868,128.1779153539712,90.22598080862299,120.4638622627986,118.16409395245506,120.0757455126078,117.72468116446758,117.39740585799325,121.53389492977145,118.1320301084056,122.49656349023647,88.740613647326,128.70923732111135,87.73850402866866,127.863669680333,85.37216882017839,2.160128795891526,0.8642855646027596,1.974063357236671,0.7248237379372796
EDT,18.104166666666668,18.104166666666668,18.125,18.354166666666668,18.354166666666668,18.125,18.104166666666668,18.354166666666668,18.104166666666668,18.104166666666668,18.354166666666668,18.104166666666668,18.125,18.354166666666668,18.125,18.354166666666668,18.166666666666668,18.125,18.354166666666668,18.125,18.104166666666668,18.354166666666668,18.104166666666668,18.354166666666668,18.104166666666668,18.104166666666668,18.104166666666668,18.145833333333332,18.375,18.375,18.145833333333332,18.104166666666668,18.375,18.104166666666668,18.104166666666668,18.375,18.104166666666668,18.145833333333332,18.375,18.145833333333332,18.375,18.375,18.125,18.375,18.145833333333332,18.104166666666668,18.375,18.104166666666668,18.375,18.104166666666668,0.01999999999999929,0.03973873005855431,0.1097227214527948,0.21873841433700233
strenGth,30.128175787050456,29.069586979796455,40.538854303846264,37.922342337255145,37.07958901327381,39.65352670073547,30.157490640103738,43.436013993586954,30.46573461526338,29.58810020090432,43.9059962194389,29.054156835666998,40.119349332160326,38.53776518002718,41.342243519588166,37.77297317756403,36.761612004117005,41.41356228388319,37.82957997013374,39.07958152434076,30.272267436923478,43.83057743897777,30.580313596337454,43.51098752708788,31.744199690177986,30.30049713868159,29.120186298248708,39.85849915069938,38.77976634353528,37.87992974740175,38.955095423798866,30.36197613003055,44.345437307267716,30.575876295581082,29.48768819106954,44.8775466468348,29.150706734914053,39.51018311879097,39.44919432252332,40.555066559978435,38.5658182738287,37.4447576723045,40.4579570371426,38.70954088989764,38.47119725422811,30.553985653227826,44.78790148653896,30.761759544963013,44.35459592022979,31.683447206076682,0.5681838906902718,0.33767710966431963,1.4558515940854488,0.786951289950048
C80,30.82190355841648,31.05269843980117,30.07210801259773,31.64229980546811,31.51952069872187,29.90837639131633,30.808063475689217,29.150616351049656,30.881131064741325,31.18028719868352,29.110021844790683,31.034631718962267,30.174508780276792,31.684699340426903,30.167502836301292,31.89583145385161,31.891604996851918,30.006830020964898,31.55214049288041,30.048338671451134,30.773052102925178,29.247693889669044,30.833537342469462,29.262571219062604,30.97106221545249,30.87446738958132,31.07657000037706,30.227532696657203,31.583415406533316,31.453528597130006,30.051281833222667,30.868849820775175,29.33282736938112,30.930445672933054,31.208205291842756,29.283635907921678,31.06713497389886,30.333257135170363,31.598126611362506,30.318517021654174,31.797653135284495,31.769533318668167,30.13457445676565,31.452444098419818,30.196102537354534,30.854258343598637,29.4318886273011,30.903791878649983,29.418141141761435,31.014367711636453,0.10209241186657848,0.05143420790839809,0.33708752611882997,0.17714970787164694
Ts,19.25,19.270833333333336,18.791666666666668,18.5625,18.541666666666668,18.770833333333332,19.3125,18.875,19.333333333333336,19.4375,18.875,19.375,18.770833333333332,18.5625,18.791666666666668,18.541666666666668,18.520833333333332,18.770833333333332,18.5625,18.75,19.458333333333336,18.854166666666668,19.5,18.854166666666668,19.604166666666664,19.145833333333336,19.1875,18.791666666666668,18.666666666666668,18.645833333333332,18.770833333333332,19.208333333333336,18.895833333333336,19.229166666666664,19.333333333333336,18.875,19.270833333333336,18.791666666666668,18.666666666666668,18.791666666666668,18.645833333333332,18.625,18.770833333333332,18.666666666666668,18.75,19.333333333333336,18.875,19.375,18.875,19.479166666666664,0.0675,0.049399167784262905,0.354327736057898,0.2584518784701939
