,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,98.72958595842381,42.16745464691317,52.36650310694788,30.819376596730216,34.27820878384088,140.70374669953247,129.3342169567218,140.01363261043485,42.65700102449239,31.942871210158813,134.33818966626927,97.71027940901226,124.6951266038364,99.0868279683269,116.68710362345512,41.80074082397501,44.79901991806861,72.01470550599421,121.8105796212028,139.00332022237038,35.47818983725666,134.21582597338022,91.45597623150158,123.92588904210982,22.409550159231948,40.20211518480506,40.571444784375046,111.44842008824034,26.93944000390053,29.37550496392385,122.84593716539393,79.84184287467873,120.57542149009595,42.182958574407,21.60126272312996,130.99804106704,88.38356603132895,141.81314087259574,89.81636614847403,117.14885924386861,36.90556690830197,47.593192517015225,23.632679297609023,75.81485538459519,246.31389130628915,39.97646123260486,226.91661051539765,60.03650928454924,32.130911635840796,19.912968035293854,27.895877113913016,31.793820325230946,29.521112758211235,29.57840495858298
T30,71.57723939940061,62.63611658288364,107.30872078585016,68.16101947883375,58.5751535243504,75.22492651973897,68.19962229908892,77.30897796555992,57.44665244952371,79.71377444049973,75.52949336003155,69.74861809121649,75.72301449197883,67.55418204853662,74.22603355067503,55.65778349601756,53.92853074414848,78.75710268615912,70.60379900808715,76.70584318296996,50.86379524369812,74.5696496040733,63.559707304994134,90.06621346316426,60.24564302191974,61.963281875246246,35.7187184644852,59.63334256033809,37.74501770513814,25.85078473814384,69.0234129763727,67.0037433061523,69.33814476079031,33.38006599749347,49.18050920813565,90.82292258331839,70.82047696732509,94.1867106920773,72.08516516762647,85.91843512646999,29.407754141025823,34.77110280060911,57.57114159958884,66.15058751745518,87.4450209063518,27.946380972352266,105.63098379035605,54.36547543876938,77.62108581849455,18.170362268941165,18.71386988673718,12.359026230833654,27.40747079974387,18.463486902978957
T60,91.36464498367035,91.14955446416104,107.71091711083733,94.03230202525687,93.37436549896707,93.04255290174083,90.29263212676113,93.14962572105252,95.96824474041199,102.08778981239463,92.93414216653102,91.08014782852949,92.431561200847,90.80509497212694,93.19801724722534,95.97279371851941,95.06733079098231,98.31470381389393,91.37660875352397,93.05013947262086,91.53048054052877,92.8039986756431,90.90259673697176,95.4915137723438,93.49481123143349,68.81045341545615,68.01929577542668,72.87384554622354,72.6795244200105,67.13026721426603,73.70487306973584,69.61067156223099,73.75277925867513,69.8627925032227,78.89678040098384,74.67400074545542,70.8398460408235,73.80549762310541,70.24938341993196,72.96932365431375,71.14209530352532,65.70414333561467,74.85725208213502,68.07695521646266,74.32398604001689,66.05438419757206,73.38705932559107,68.67438062531768,74.2918762118844,73.39194830084159,22.513726200726083,3.7179630399772226,23.886734923530764,3.285222964144425
EDT,24.208333333333332,21.833333333333332,42.6875,24.1875,21.833333333333332,42.666666666666664,25.104166666666668,42.666666666666664,24.895833333333332,25.270833333333332,22.020833333333332,25.520833333333332,24.25,25.104166666666668,22.020833333333332,21.8125,21.833333333333332,25.104166666666668,25.104166666666668,42.666666666666664,24.1875,42.666666666666664,29.270833333333332,21.833333333333332,24.1875,21.833333333333332,21.833333333333332,42.666666666666664,21.833333333333332,21.833333333333332,24.9375,21.979166666666668,25.104166666666668,21.833333333333332,25.104166666666668,21.833333333333332,24.1875,21.833333333333332,24.208333333333332,21.833333333333332,21.8125,21.8125,25.104166666666668,24.1875,22.020833333333332,21.8125,24.208333333333332,25.520833333333332,21.833333333333332,24.1875,3.9033333333333333,6.536712242744393,10.648220526261182,15.115224860874848
strenGth,35.49036527262796,35.450406908359014,47.426093644260924,42.58430968123793,41.70944640238882,48.32437350317823,34.46000779973024,41.94219285353062,37.806353560655516,34.46359747890844,42.329732879925125,35.0847351224266,47.74695748108927,41.687207684650126,46.104197285492546,39.5439676803849,37.83861453323008,41.61642356291594,41.78577792448193,46.04964745729017,35.23663255405941,47.18730736568301,37.99365370254666,44.116062425516965,33.86731675335455,34.45064478246532,35.388320946298194,49.9195750327407,41.421045732016665,41.604924026679996,50.49434835033303,33.78550745311205,42.38805178204109,36.758986486720154,33.54197022591738,42.727513698931084,35.145941354495655,50.5474277706162,41.14202165341196,49.056704627810234,38.70844805963551,38.22276481411983,40.147380940692614,42.36026954654214,50.928348614633194,34.557125605218374,48.85717186230573,37.01225051018811,45.840766039550175,33.57285763420987,1.214855840130677,1.1046766167096562,2.817909115590693,2.317709575864119
C80,25.21364069922411,26.676376511676857,18.38058686377982,26.373722030585284,27.78925245869472,20.405004825690163,23.896782590294347,20.496088029482507,25.73850517340826,24.820139051808454,23.379522489860726,23.021331845445594,23.234302005076927,23.2203652846299,23.28001900557333,27.430026650320244,27.219077680956207,24.74341960609769,24.414979571685453,21.17680245966042,28.043318744133252,21.4244972476958,23.44738262446151,25.631354142998944,28.245331920595426,31.571315352972466,32.42133932516131,23.502968090997687,32.55803287623229,33.86531058424482,26.531530402844545,30.523527388562638,26.643020226356917,31.66588240347251,30.328801144377827,29.833274920177836,29.525967242875574,29.74471207738667,29.834236946822706,29.771816033536002,33.503604411930525,32.98433769141609,30.73703207873698,31.115271592256917,27.443605804347175,33.96301026900668,27.64722815955593,29.800190463502815,31.924266570747882,33.75147017024667,6.139596908557341,0.3828840658678661,25.561075428557032,3.211168596140693
Ts,25.375,24.145833333333332,39.4375,24.041666666666664,23.604166666666664,32.33333333333333,26.645833333333332,32.10416666666667,24.708333333333332,26.854166666666664,26.541666666666668,27.604166666666664,27.166666666666664,27.416666666666664,26.833333333333336,23.354166666666664,23.875,26.1875,26.291666666666668,30.6875,23.8125,30.541666666666668,27.270833333333336,24.208333333333332,23.458333333333336,23.770833333333336,23.270833333333336,34.375,23.208333333333336,22.958333333333336,27.666666666666664,24.333333333333332,27.520833333333336,23.833333333333336,25.8125,24.1875,24.875,24.520833333333332,24.75,24.458333333333332,22.791666666666664,23.208333333333336,25.041666666666668,24.166666666666668,26.520833333333332,23.166666666666664,26.458333333333332,25.0625,23.083333333333336,22.9375,2.1008333333333327,1.4131166303993148,7.325993115622907,4.076790561965446
