,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.45900100000000005,0.21101381797191687,0.05093766143479306,0.06298905855175596,0.04565456879069485,0.05145848473711301,0.14684243191437898
x_1,0.30464289789541926,0.26786057274284286,0.18854457057420726,0.08565263670761314,0.10369094723556815,0.11067584232170413,0.17684457791289246
y_0,0.18864100169971132,0.10730812218719443,0.07659109679080289,0.13409981049465147,0.11958291898008144,0.12081533712550219,0.12450638121299062
y_1,0.14306290901107005,0.0019693084033287067,0.07802975416507707,0.19033284027958497,0.17002653579125315,0.16667416096167664,0.12501591810199844
z_0,0.5108558492281814,0.768421451794393,0.528687328091574,0.7918251694672527,0.4449397422465903,0.36426941913839195,0.5681664933277305
z_1,0.43660441411577977,0.2787974888075976,0.22552182301055856,0.16319750591343318,0.10582301448683729,0.02912040025564666,0.20651077443164215
Mean per band,0.34046801199169363,0.2725617936512123,0.19138537234450215,0.23801617023571522,0.1649529545885042,0.14050227409000576,0.22464776281693893
