,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.27638731760885105,0.35919387969940186,0.1314921546952058,0.22162847668027447,0.09009028729381785,0.002503866838555302,0.18021599713601774
x_1,0.16666096548950196,0.11137021099610869,0.1714073087164541,0.16019385038003348,0.1851269448701916,0.1806497549970651,0.1625681725748925
y_0,0.04720141214144008,0.1737148846666472,0.09677045888027053,0.002417282168335977,0.1635898269040853,0.22199486667411383,0.11761478857248216
y_1,0.14593196677198106,0.21712735848961917,0.25202759995441937,0.204081025217265,0.22214171902713176,0.21506737157991496,0.2093961735067219
z_0,0.3093751377895039,0.2866539636893636,0.15888466189629513,0.08494664316204714,0.045757854490958594,0.08264522333471458,0.16137724739381382
z_1,0.4812617956217824,0.06149381935715714,0.026032944772271693,0.025887865926061182,0.00715776391322942,0.02202366861618066,0.10397630970111375
Mean per band,0.23780309923717677,0.2015923528163829,0.13943585481915277,0.11652585725566954,0.1189773994165691,0.12081412534009074,0.15585811481417366
