,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.5490010000000001,0.19389355706726424,0.47310599931309716,0.6474226194001321,0.7364761807006376,0.5652712564126887,0.5275284354823033
x_1,0.008101567989451441,0.06612085922143768,0.25057206406593546,0.013585071108488167,0.026163114425742706,0.05439869314687007,0.06982356165965425
y_0,0.009001000000000028,0.01900100000000003,0.37433787582901773,0.3969085518949198,0.15042218807121865,0.04058550035214431,0.16504268602455008
y_1,0.26900100000000005,0.25900100000000004,0.08166575039473012,0.13539758843817612,0.07181794118752804,0.16289173738363005,0.16329583623401073
z_0,0.39900100000000005,0.749001,0.3965489628959017,0.11263781795055738,0.2591559964505822,0.3245976751049602,0.37349040873366696
z_1,0.04900100000000003,0.15900100000000003,0.03409265704856229,0.22780539849864556,0.4912690631996758,0.47260012336546,0.2389615403520573
Mean per band,0.2138510946649086,0.24100306938145033,0.2683872182578741,0.2556261745484865,0.28921741400589746,0.27005749762762554,0.2563570780810404
