,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,8000hz_wall,16000hz_wall,Mean per wall
x_0,0.7949823952652558,0.86456689609401,0.8520417625582958,0.8421332511161173,0.8331301535536303,0.7989762330495378,0.7973733379108019,0.7970034219483817,0.8225259314370037
x_1,0.6424574677635152,0.775119628212975,0.7494078892855804,0.771677416055426,0.7392719822279548,0.7581046123387125,0.7508049141048311,0.7490192976010907,0.7419829009487607
y_0,0.552608559025606,0.37937302286728314,0.0014433374323247206,0.05057697496956537,0.01260435509647484,0.014991787444232907,0.01701965167632058,0.018389324419357145,0.13087587661639558
y_1,0.6526364290153814,0.4279267572408386,0.14110764182493274,0.047238681252551595,0.09484766866543703,0.048728864359629864,0.051622937617044506,0.05343627600504941,0.18969315699760814
z_0,0.6920272596923491,0.8000019676702167,0.7621949671457716,0.678404204898046,0.5335665163377856,0.56015940048679,0.5599404177642107,0.5605474429152439,0.6433552721138017
z_1,0.4598749704980419,0.31651586058746417,0.17748239477373584,0.06932318591750097,0.12230378145190735,0.2332299217765812,0.23262057762305588,0.23383671137064566,0.2306484254998666
Mean per band,0.632431180210025,0.5939173554454646,0.44727966550344017,0.4098922857015346,0.38928740955553165,0.40236513657591405,0.4015636394493774,0.4020387457099614,0.459846927268906
