,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,1227.7336944804401,467.9423454268305,1221.4322086176735,882.2540634093567,586.0080894600516,589.627052491774,1367.2777342053344,707.070452108973,471.16935200329794,1000.5942175520472,516.4664191712463,696.3747592128735,1288.6812575118236,1270.278397744635,592.0932379893246,1247.9597999383884,499.38477076297386,1021.8144883008235,334.62794600071584,1381.4297896354788,897.214874677532,759.3881334543487,696.3675380529965,810.2968324762704,868.3042626577079,186.86261856922044,49.58394862012996,189.01072340843604,184.47522211563302,332.7976708045229,54.014543336899855,131.18675644742987,328.36663565371833,253.61885231994737,306.8939368565368,61.165503099543464,216.11533625639743,171.74367412783334,172.75121177001748,52.86857698941733,208.1509969831893,235.64969344728786,72.31093294075639,291.3273564578494,148.3588460447834,250.72931516115833,194.25648315345455,373.1878166951988,188.34094125822904,250.01725932732637,659.92027461992,337.11067948277037,72.98735485635339,19.64339893336779
T30,1488.3158627190699,954.604732436671,1771.2109267921387,1667.9849929918025,1209.597821462151,1065.1150745846357,1549.3776588462272,1565.0584964974946,1135.8704073793497,1442.6939252040684,1069.837350536806,1208.2323274310525,1475.3064165155592,1585.2399673171249,1202.8978251362566,1530.528811272035,1162.2296580825055,1415.048442351702,896.3297236091769,1655.4781316096064,1428.8197217279114,1351.3708670449266,1217.003485575361,1313.4197245802711,1373.826343633827,157.22626012664722,142.90976715398799,146.2813196389552,163.890939959948,181.08494556412873,132.6855225991365,150.64884440120332,174.57662533215543,154.7759545564784,174.62525476903065,186.71340800422703,139.80968794550233,155.00588896498314,172.73436405232658,145.66407794348683,164.6405982811347,155.58872315818257,183.04521260383783,191.74286136863194,152.10096981113622,156.19217751123048,163.0435883826993,188.56598058648876,163.68102643043426,161.30628434264906,1187.0743364739644,228.45783236667432,87.57816757879604,2.7584201230052288
T60,1662.5639671117924,1637.7438380007538,1895.9671455796465,1889.921722153747,1813.9154753357354,1777.5116929970104,1826.9242097043768,1883.8463670359972,1745.9981583285837,1676.5030621885637,1820.1605909056389,1610.1043970503836,1810.6997494849868,1771.8893618461043,1701.4528407999285,1717.2855883644452,1744.437846725186,1669.5991541903884,1548.40145359067,1797.6118142320902,1778.0879408622661,1720.7413893776427,1598.800543659167,1640.646779603344,1684.5153504933269,182.6090827889811,163.9210622504472,168.87354542481245,170.34392904814445,172.12603622590657,169.49050930145677,175.8022958477517,173.86864728362812,165.96270960830503,182.31898620911215,172.98834542867695,169.0795064797494,180.97197740196006,176.27990893136388,166.11567580649077,173.62413795384742,166.53452041945596,185.33606027298268,167.18624814665873,171.9100018241107,172.54406120373122,171.68517786362509,176.2861697574896,177.67239270999355,173.6513287912805,1563.9259249056724,92.81814790763416,90.00619084277906,0.6354189041169531
EDT,29.729166666666668,16.229166666666664,16.229166666666664,51.229166666666664,16.375,15.75,58.270833333333336,20.0,47.3125,20.0,15.729166666666666,10.770833333333334,47.35416666666667,59.958333333333336,16.229166666666664,51.1875,47.375,16.229166666666664,10.770833333333334,33.916666666666664,44.791666666666664,51.125,10.770833333333334,15.6875,51.104166666666664,16.208333333333336,16.229166666666664,15.666666666666666,47.3125,15.75,14.104166666666666,47.41666666666667,15.729166666666666,16.229166666666664,16.229166666666664,15.666666666666666,10.770833333333334,16.3125,51.104166666666664,14.333333333333334,16.25,16.229166666666664,16.208333333333336,10.770833333333334,20.166666666666664,14.0625,21.229166666666668,10.770833333333334,14.083333333333334,16.3125,11.559166666666664,13.347758706988976,26.713678084620497,26.861409729716954
strenGth,163.02206420898438,165.22686767578125,162.93243408203125,157.1328887939453,157.93765258789062,167.4283905029297,156.27157592773438,155.92332458496094,164.30670166015625,162.85104370117188,160.7834930419922,162.8197479248047,162.98495483398438,154.1584930419922,167.3931427001953,159.39077758789062,159.62571716308594,166.75601196289062,158.53756713867188,160.96337890625,164.11961364746094,154.23062133789062,165.7275390625,162.7616729736328,161.35467529296875,162.5213623046875,165.00482177734375,162.6851348876953,155.23806762695312,157.7903289794922,167.29544067382812,153.83192443847656,155.7982177734375,163.68301391601562,162.3822784423828,160.8063201904297,162.70704650878906,162.31065368652344,150.5258026123047,167.20867919921875,157.90252685546875,158.86143493652344,166.56031799316406,158.42538452148438,160.0771026611328,163.7484588623047,153.30491638183594,165.53640747070312,162.55511474609375,160.32925415039062,0.7038397192955017,0.8400365710258484,0.44399315118789673,0.5424326658248901
C80,14.139677047729492,23.014747619628906,18.18684959411621,14.352170944213867,20.114421844482422,22.985607147216797,11.830221176147461,18.57996368408203,19.07124137878418,16.21498680114746,23.62287139892578,21.48054313659668,13.153075218200684,11.367512702941895,21.437698364257812,13.337814331054688,17.8414363861084,18.776611328125,23.974802017211914,15.129380226135254,17.54926872253418,14.846701622009277,20.121477127075195,19.053741455078125,14.84684944152832,34.428955078125,41.56214904785156,36.256656646728516,28.08323097229004,36.849449157714844,42.716007232666016,25.634933471679688,36.3601188659668,34.97755432128906,35.75413131713867,41.752105712890625,39.147552490234375,32.86071014404297,24.65972137451172,40.787315368652344,29.805217742919922,33.09110641479492,39.57329559326172,40.8964958190918,32.46352767944336,34.692169189453125,30.250823974609375,38.79172897338867,39.010623931884766,32.07341766357422,17.497974395751953,2.0511770248413086,101.6119155883789,19.72307586669922
Ts,20.520833333333332,13.4375,16.083333333333336,34.229166666666664,17.0,12.791666666666666,41.791666666666664,17.6875,17.9375,19.125,13.479166666666668,13.145833333333334,24.479166666666668,44.979166666666664,13.395833333333332,29.354166666666668,20.9375,15.083333333333334,12.625,23.520833333333336,17.729166666666668,29.5625,13.979166666666668,14.416666666666666,24.5625,12.625,12.125,12.3125,18.625,13.729166666666668,11.604166666666668,25.104166666666668,13.666666666666668,13.104166666666666,13.604166666666668,12.458333333333334,11.375,14.25,21.5,11.770833333333332,14.604166666666666,13.791666666666668,12.416666666666666,11.145833333333334,16.6875,12.4375,18.229166666666668,11.208333333333334,11.541666666666668,15.125,6.6725,5.72052080962331,27.22536488730631,13.066301579325748
