,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,8000hz_wall,16000hz_wall,Mean per wall
x_0,0.7929476165290538,0.8645660431857946,0.8513898108256726,0.841620653246071,0.8322238381799065,0.7980976751022897,0.7961723928166815,0.7957497734264636,0.8215959754139917
x_1,0.633821117086741,0.7734039387211427,0.745132533485346,0.7680050374762243,0.7339782178807487,0.7533762183794354,0.7457740340995173,0.7432268360317104,0.7370897416451082
y_0,0.5467558186638847,0.37884443696439984,0.003227030479417081,0.052286404634423134,0.014465372760020911,0.016739603783400114,0.01914827713113576,0.020478777438255436,0.13149321523186713
y_1,0.6484302699464924,0.42492201917181427,0.14068872894256157,0.04481092701785816,0.09230709965185402,0.04663064171512421,0.04902698745259915,0.050858723055191235,0.18720942461918688
z_0,0.6875690607653013,0.7967923565419429,0.7603812151266832,0.6765828158455423,0.5316937239645008,0.5584489911104344,0.5577510967072015,0.5586173929334957,0.6409795816243877
z_1,0.4561533407244304,0.31403218864004345,0.17637535329128418,0.06862667916736154,0.12117196782901951,0.23208069316761826,0.2312806053697607,0.23254909843023008,0.22903374082746852
Mean per band,0.6276128706193173,0.5920934972041896,0.4461991120251607,0.4086554195645801,0.38764003671100844,0.400895637209717,0.3998588989294826,0.40024676688589106,0.45790027989366844
