,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.009001000000000028,0.5744013172518758,0.2985976221449962,0.38519284635207923,0.2650556516196167,0.01424310534681339,0.2577485904525636
x_1,0.1784661741146304,0.25056549055158706,0.31629784649265813,0.05450744465301216,0.0337672642945126,0.03988705483135235,0.14558187915629212
y_0,0.39900100000000005,0.20462875857499174,0.47316472946744903,0.24848920354834192,0.25760938986678894,0.17330268233631685,0.2926992939656481
y_1,0.04900100000000003,0.302962554451748,0.02113176164626962,0.04744241007115302,0.03691333451797074,0.16403066291245905,0.10358028726660007
z_0,0.18253059241380665,0.5909033037233101,0.5249502133647755,0.6260491024686531,0.6147211462607506,0.6022823704461464,0.5235727881129071
z_1,0.13325655042052031,0.13132147609250744,0.07254911140453613,0.10038670402573002,0.07442558863159221,0.07821054529776583,0.09835832931210865
Mean per band,0.15854271949149293,0.34246381677433674,0.28444854742011416,0.24367795185316155,0.21374872919853863,0.17865940352847565,0.23692352804435327
