,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.272995450450733,0.718624906910833,0.05657780262975931,0.6787681687391134,0.007263626255934019,0.051638027437350464,0.2976446637372872
x_1,0.23088941586837025,0.48491212095778263,0.23851988505245647,0.019749222733086436,0.08196381672711606,0.10982973254195816,0.19431069898012834
y_0,0.3554417499446935,0.5087213569431217,0.6067627629665828,0.539201216240441,0.5915574150289791,0.5845872545210495,0.5310452926074779
y_1,0.5365231379065298,0.45799620592423274,0.5643814323549623,0.6183868091403101,0.6599889167544848,0.6694555727759869,0.5844553458094177
z_0,0.2291969863236643,0.5693609302042484,0.05418460292988192,0.6226125307361488,0.055219436439723046,0.061759603576963196,0.2653890150351049
z_1,0.379703900658327,0.5908058843897374,0.5646387582457748,0.3660236211020714,0.13145625602673705,0.09712736911919528,0.3549592982569738
Mean per band,0.33412510685871966,0.5550702342216594,0.3475108740299029,0.4741235947818618,0.25457491120549575,0.2623995933287506,0.37130071907106504
