,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.1059932004612575,0.24900100000000003,0.31531586820122304,0.3782541134102385,0.25488364299282873,0.23985639013989546,0.2572173692009072
x_1,0.09882132339983041,0.42249267593770756,0.25772164694949895,0.2872407768498426,0.26542060651811195,0.2851485510351255,0.26947426344835285
y_0,0.28238018704257756,0.19261945901601835,0.04369702554552979,0.274691006876317,0.17677245464380098,0.12710550166864254,0.18287760579881437
y_1,0.39900100000000005,0.07987373449952806,0.14900100000000002,0.09900100000000003,0.10694915899630883,0.03320189242929365,0.14450463098752178
z_0,0.19236270137144001,0.19900100000000004,0.0025489701937652376,0.0026605597362721473,0.06855978152729152,0.024890637623381548,0.08167060840869175
z_1,0.04262853149472446,0.002019126393708928,0.01900100000000003,0.01900100000000003,0.0033833012168643477,0.04497062757459032,0.02183393111331469
Mean per band,0.186864490628305,0.19083449930782714,0.13121425181500285,0.17680807614544505,0.14599482431586772,0.12586226674515483,0.15959640149293378
