,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.19900100000000004,0.02005193604478961,0.13457800169998696,0.265795808151366,0.3435916847582639,0.43922943124035035,0.2337079769824595
x_1,0.09900100000000003,0.04139868774423555,0.0582629256615011,0.2480780908025335,0.02839652882947641,0.005246561383516535,0.08006396573687719
y_0,0.05024673579643761,0.22692249384011162,0.2731088045481318,0.3061220024211937,0.36060445431316007,0.374515152758971,0.2652532739463343
y_1,0.17684235188997968,0.11267919245657709,0.13187106076674526,0.1747750644668825,0.0024882756272148754,0.09496206527305817,0.11560300174674293
z_0,0.14900100000000002,0.06286500580235677,0.2612244039642897,0.41091255528748316,0.37566840208609825,0.4714228229641713,0.2885156983507332
z_1,0.24900100000000003,0.1678064799603986,0.38150692420922816,0.33178236898997293,0.20287822024932933,0.04781798214677724,0.23013216259261773
Mean per band,0.15384884794773626,0.10528729930807819,0.20675868680831386,0.2895776483532386,0.2189379276439238,0.2388656692944741,0.20221267989262745
