,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.03974932887674537,0.12543237421302256,0.09387043890610064,0.2138570251366108,0.32977809628976845,0.4454615405786027,0.20802480066680842
x_1,0.046803251328929124,0.16233220886601957,0.06325824379343598,0.2852662502930208,0.029523164286429204,0.007480847123295331,0.09911066094852167
y_0,0.3126886723320506,0.43244656175334384,0.2920328165874829,0.2982390617377666,0.39771776354990634,0.43892230732761456,0.3620078638813608
y_1,0.4926112272314731,0.4690499695263507,0.09367787327271127,0.022798072179552542,0.10057433316401121,0.1460771196161441,0.22079809916504048
z_0,0.17132963183599506,0.24751234325533855,0.3293748557383648,0.4510916921890802,0.43234806169608836,0.5358521855667616,0.3612514617136047
z_1,0.46454850332033515,0.41126576777260054,0.06325093993669195,0.005430445764075809,0.04797420240364614,0.09668883463627598,0.1815264489722709
Mean per band,0.2546217691542548,0.308006537564446,0.1559108613724646,0.21278042455001778,0.22298593689830826,0.27841380580811576,0.2387865558912679
