,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,MAE,MAE_std,MAE_perc,MAE_std_perc
T20,3.936183635971061,0.21619522950522221,46.85920850683215,43.61653914667028,16.91075419964912,1.1614915146578095,41.678613971580695,1.1661609804983655,98.80294280296339,45.016944903975705,17.52488064792825,72.98789659613331,16.664813910891286,106.97560283593167,1.1857088299486802,0.22483902895076704,275.4971794118362,0.22593183427655167,40.544084599813715,48.708306813412705,0.9225597808833188,50.19268782376114,110.69559179642671,16.943058538605367,260.64103624209986,8.617840528784214,0.22035029983329524,34.927409756336374,35.20029244086898,17.053682428582004,1.4508536818245859,37.97758182703516,1.4530046322003873,80.5192415087814,42.06346466377358,17.783323549458533,130.6636542247833,16.742100313602617,88.54845738052474,1.43371420517463,0.21708918017884885,248.672922193739,0.6152343513299054,53.646957893159446,49.92806443154506,1.189334937882539,51.0527654371772,92.11239913223699,17.12359529593063,37.55908746568934,16.47577257493742,44.03477246471528,28.936439640356525,41.087855603084215
T30,25.646528537994264,34.94325531830122,26.76096224590247,183.96569815979345,0.8296882692074771,26.93590887242998,81.64944482466021,27.11391449846699,82.44832069014616,140.4653030708026,15.458242849463037,145.91301350980143,0.7013183416635624,104.77363710493077,38.15011984897322,126.15591784437913,59.93611085666312,60.21158391645674,9.108502308438505,19.80401995681254,67.66532497701,11.074498695112212,90.20645834667904,0.8299147772502691,127.2636404131163,23.31580402023714,31.585414009009558,25.63914832837779,162.50211730589604,0.9306665405378666,21.275220377337952,70.4075861728902,21.329526281404867,78.54623106440326,129.11307288506617,12.834832219962694,20.875273486575324,0.7180741079736472,88.6581820441971,35.59588224392726,110.49117355379238,57.41292009266116,55.471288545808314,17.917979002811542,27.68092600818157,44.28449783500864,22.057092781429326,86.37298960023385,1.0022665475243846,92.28874693521705,13.024901660957484,24.331144307021095,23.600120948170503,27.60325818418986
T60,76.48048861287371,122.46517951302131,12.868733780760854,51.72008880085244,23.64504452020488,8.047037800220608,60.92754288531218,21.59437436809268,61.61847238454983,71.64939389666476,8.792698682116391,80.66150196714156,23.48562693812487,55.1899599647147,38.445844769398974,52.167548559173596,41.4573924560861,15.790509183479347,36.30279301470528,19.26620101612061,76.40029984343526,42.63470628261374,62.130017724608216,25.80496308261153,78.64344795946735,72.78803208771892,126.64760069537706,13.02405000102538,49.029128656463236,23.293278308718662,8.21217400861894,60.7597176045606,21.755440149742398,58.38630574837857,67.69880053465145,9.1976939891514,117.61285921448302,23.771724565528945,46.789073555598954,35.23626841354902,63.609770464775366,37.9093337099426,16.163077161722498,26.080873642215153,17.63460536342349,79.39138454147384,39.31672336086725,59.32046494160872,25.73930422344692,77.62218575887714,4.2169810246838395,7.338395968379204,7.697120819657459,10.183447218109418
EDT,2.875,2.875,2.875,2.875,2.875,2.875,4.270833333333333,2.875,2.895833333333333,2.875,2.875,4.270833333333333,2.875,4.354166666666667,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,4.3125,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,4.270833333333333,2.875,2.875,2.875,2.875,4.270833333333333,2.875,4.3125,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,4.270833333333333,2.875,2.875,0.004166666666666679,0.011785113019775851,0.1057018333741579,0.288962991845303
strenGth,0.10204314604489095,0.08354195773534534,0.012186112114897618,0.22577805682177132,0.024348707014567483,0.0133115284970039,0.8216872801704422,0.014801457382256356,1.271014844794509,1.0036239058116472,0.005316304961989093,0.46740792813775656,0.02489279536142952,1.3648987456934414,0.11589697295449852,0.14581531101713174,0.29030890010644406,0.1198203452715978,0.03702143580567796,0.05104902531237476,0.12334550875368144,0.06136617276710421,1.5589042620480082,0.012446104227747057,0.28547588223130527,0.09294747964780647,0.07982737719038835,0.011992472532879717,0.19663561446307387,0.023376984308313697,0.013268206578700426,0.7266169761052268,0.013832523401109409,1.1522873823777307,0.9452701471282889,0.005308749642666477,0.4201734362619618,0.02405752261495664,1.1477415009924261,0.11161326700876195,0.12823155264748665,0.27632287821248713,0.11578642001744122,0.034408346874339024,0.05004936066085364,0.10730751426796559,0.05777003018711291,1.3700427643002566,0.012142880371377007,0.24830065963461267,0.03483962574437181,0.05810325129248037,6.9739995945791255,4.497811245440371
C80,50.33464780160833,49.04705385466451,60.50354167646585,49.20844779480028,56.610756242150096,61.115708908964955,42.19855446822359,60.189844387480505,40.10773432354724,39.49451896069941,61.41418347986679,41.3330042012472,57.3404474193411,42.61027646906701,56.23387486275607,52.14246517196472,53.36891321392322,58.02955468874416,54.33511006524761,54.05963217657053,48.931882383797465,53.255122083869004,38.29211783388191,61.023459479358884,45.05326525204816,52.083864173322496,51.60035372676232,59.69879145544983,52.16780991584318,57.05714151777619,59.86253403622969,45.263390642552906,59.35647756668324,43.339369215722755,41.93749601944602,59.86457397527672,43.771741702596,57.492638382744296,47.3753308918836,57.68434943013179,55.89499019468073,56.19430025652443,58.36231450748385,55.067268948587326,55.84504079360628,51.86070666745423,55.02282575837471,41.76855640900003,60.04587360135665,48.185849213953446,2.056257855897433,1.1863569903368887,4.354339880071845,2.9106227624336047
Ts,3.1666666666666665,3.0416666666666665,3.0,3.5416666666666665,2.895833333333333,2.916666666666667,5.333333333333333,2.9375,6.0,5.0625,2.895833333333333,4.729166666666666,2.895833333333333,7.208333333333333,3.0625,3.2708333333333335,3.3333333333333335,3.0208333333333335,3.125,3.0,3.25,3.0625,7.229166666666667,2.875,3.7708333333333335,3.125,3.0208333333333335,3.0,3.416666666666667,2.895833333333333,2.9375,4.958333333333334,2.9375,5.458333333333333,4.791666666666666,2.895833333333333,4.541666666666667,2.895833333333333,6.4375,3.0416666666666665,3.1875,3.3125,3.0,3.125,3.0,3.1875,3.0625,6.4375,2.895833333333333,3.5833333333333335,0.14249999999999993,0.22993658546071638,2.6170174690402273,3.4074816801310543
