,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.37356816730733156,0.5009015225374578,0.4292629276911285,0.4608818205173188,0.3951997015569532,0.08581235717870905,0.37427108279814986
x_1,0.22056704010313877,0.2762088214625624,0.13745189068911612,0.01595248123212456,0.038799480183097534,0.029087978605304432,0.11967794871255731
y_0,0.2150883172525242,0.26805142884832334,0.33472067450691434,0.1860361075299406,0.212708730641184,0.09387226329676557,0.21841292034594204
y_1,0.17517273065739553,0.2686817450527037,0.168112897032489,0.11328201989267517,0.07717503127079894,0.22884440999357203,0.17187813898327242
z_0,0.043683347213762325,0.5624956534548139,0.5709041284781894,0.6527988829509773,0.6398682253457662,0.6245269094654142,0.5157128578181539
z_1,0.12717837251677033,0.1355138803212118,0.06906339717991794,0.10133575086849667,0.07400491739558601,0.07871226557920052,0.09763476397686388
Mean per band,0.19254299584182044,0.3353088419461789,0.2849193192629592,0.2550478438319222,0.23962601439889766,0.190142697353161,0.2495979521058232
