,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.09900100000000003,0.299001,0.3155342468583858,0.35047143987305074,0.46047427492044646,0.4567585770820397,0.33020675645565384
x_1,0.5784453767466528,0.3958777366941481,0.053408628325659624,0.5400041086484189,0.7341020859704624,0.7732802679384165,0.5125197007206264
y_0,0.11203775859509135,0.013324833043451667,0.22366670156219925,0.35273493242211884,0.5031608909399892,0.6516216264110772,0.30942445716232125
y_1,0.21900100000000003,0.1371301147668189,0.0630746703813021,0.058594912736215865,0.03156750250541451,0.04925358668968294,0.09310363117990572
z_0,0.299001,0.0009989999999999721,0.028118464256549125,0.5034225749115881,0.12946244163802273,0.164006851448591,0.18750172204245852
z_1,0.479001,0.489001,0.3255302766678069,0.13516408471214136,0.42915340412450353,0.35378708889775157,0.3686061424003672
Mean per band,0.2977478558902907,0.2225556140840698,0.16822216467531712,0.32339867555058893,0.38132010001647315,0.4081179997445931,0.30022706832688884
