,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.5144118496000022,0.1998017630673684,0.02989258806540729,0.014107385707833986,0.0036437895905210294,0.06201327869945883,0.13731177578843196
x_1,0.1727580193189175,0.15821978122069513,0.08001893539072735,0.10882893586398956,0.12518020619919557,0.1354062112662604,0.13006868154329757
y_0,0.3189613377219274,0.1595312462327989,0.09132866160629471,0.059427551444825255,0.10646010553832341,0.13683039906819738,0.1454232169353945
y_1,0.17900100000000002,0.31900100000000003,0.4363520118990293,0.2777902238549834,0.4802587350167473,0.289001,0.33023399512846
z_0,0.436267312279753,0.44172850626077453,0.25972709309912245,0.22460455779114397,0.13726789192385502,0.10724936299376187,0.2678074540580685
z_1,0.42436984891827567,0.1266540659382292,0.0589058312580909,0.11168550691004708,0.05215532495976671,0.09706492447700732,0.14513925041023615
Mean per band,0.3409615613064793,0.23415606045331103,0.159370853553112,0.13274069359547055,0.15082767553806817,0.13792752941744763,0.1926640623106481
