,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.1433385455730687,0.11864409102989593,0.07315503647903288,0.0844427380024868,0.08942202469397043,0.08238506259300293,0.09856458306190961
x_1,0.21822042011043313,0.22092156240155558,0.14900100000000002,0.09900100000000003,0.09900100000000003,0.06900100000000003,0.14252433041866477
y_0,0.4814841574463414,0.472515656249488,0.18849536254206223,0.08364502899205273,0.07631342783871553,0.05563719552998603,0.22634847143310766
y_1,0.3300038868992784,0.27484430352747186,0.11492442640784295,0.12591869663770627,0.13942189556969675,0.17002719394156596,0.19252340049726036
z_0,0.20478549141169872,0.12705421823922608,0.15949008015335528,0.15850873335584115,0.13502081216400952,0.14076654240874265,0.15427097962214556
z_1,0.18044889256469457,0.028198119057407767,0.07452159239959477,0.02559412684871809,0.08287820341771579,0.024505552045961387,0.06935774772234872
Mean per band,0.2597135656675858,0.20702965841750753,0.1265979163303147,0.09618505397280085,0.10367622728068467,0.09038709108654315,0.14726491879257284
