,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.09900100000000003,0.2885706519974894,0.24566428670559426,0.30358642842799155,0.39303440025337977,0.39097435288458615,0.28680518671150684
x_1,0.5830722002917283,0.3988253124490026,0.05623639728302654,0.5415480728485891,0.7337249412088632,0.773401754405869,0.5144681130811798
y_0,0.08958377973908915,0.04080687307170949,0.23735410352126818,0.361622340364283,0.5065781469383694,0.6476597803525348,0.3139341706645423
y_1,0.21900100000000003,0.14381160975365614,0.06155595967373928,0.06587227823955444,0.05174697696290964,0.06487206382067723,0.10114331474175613
z_0,0.299001,0.08439876589695583,0.0006040280737606429,0.4638525736735126,0.16813130130932225,0.16870273458975732,0.19744840059055146
z_1,0.479001,0.2681189282257359,0.14716467404717126,0.030716029157616953,0.263798288001855,0.17852315350772208,0.22788701215668353
Mean per band,0.2947766633384696,0.2040886902324249,0.12476324155076002,0.29453295378525796,0.3528356757791166,0.370688973260191,0.27361436632437003
