,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,Mean per wall
x_0,0.09206124731905302,0.6426251278671483,0.2037562784137556,0.4828387092519657,0.2325961534389654,0.2434868176177692,0.3162273889847762
x_1,0.5922147032928838,0.3487891859712647,0.015833816684325264,0.008183877159785524,0.013656558554372644,0.009766199547198928,0.16474072353497182
y_0,0.5044275311113824,0.3139327672728512,0.29182950344302006,0.08377934438278145,0.08556132622977819,0.18587905843939256,0.24423492181320097
y_1,0.36224129381996234,0.18059893548244355,0.06279726286160925,0.03916571583638584,0.19885116429170047,0.4631016401131698,0.21779266873421188
z_0,0.010460466069031227,0.04921088116523503,0.16006029032423652,0.15237185985181786,0.17401182157768866,0.16232817010017697,0.11807391484803105
z_1,0.01658261664152233,0.0763102167025671,0.2402938388673974,0.2910081504102,0.25994918917771215,0.25040325599297075,0.1890912112987283
Mean per band,0.2629979763756392,0.2685778524102516,0.16242849843239068,0.1762246094821561,0.16077103554503624,0.21916085696844637,0.20836013820232002
