,125hz_wall,250hz_wall,500hz_wall,1000hz_wall,2000hz_wall,4000hz_wall,8000hz_wall,16000hz_wall,Mean per wall
x_0,0.05570994801061502,0.1279581963700533,0.023217749434005813,0.003727451765448475,0.003137981711330881,0.0365822153287889,0.0365822153287889,0.0365822153287889,0.040437246659727526
x_1,0.05570994801061502,0.1279581963700533,0.023217749434005813,0.003727451765448475,0.003137981711330881,0.0365822153287889,0.0365822153287889,0.0365822153287889,0.040437246659727526
y_0,0.22393288923016932,0.22872083832840578,0.8488144464205373,0.8971479300214792,0.9,0.8693646334175902,0.8693646334175902,0.8693646334175902,0.7133387505316703
y_1,0.05570994801061502,0.1279581963700533,0.023217749434005813,0.003727451765448475,0.003137981711330881,0.0365822153287889,0.0365822153287889,0.0365822153287889,0.040437246659727526
z_0,0.0052873506835257045,0.15362285255987101,0.20412536529820785,0.1692945575038675,0.21924141923634252,0.08734808501046726,0.08734808501046726,0.08734808501046726,0.12670197503915206
z_1,0.0052873506835257045,0.15362285255987101,0.20412536529820785,0.1692945575038675,0.21924141923634252,0.08734808501046726,0.08734808501046726,0.08734808501046726,0.12670197503915206
Mean per band,0.06693957243817762,0.15330685542638464,0.22111973755316172,0.20781990005425996,0.2246494639344463,0.19230124157081527,0.19230124157081527,0.19230124157081527,0.18134240676485947
